Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
18342,0017XiMkqbTfF2AUOzlhj6,Chad Daniels,Busy Being Awesome,Thanksgiving Chicken,24,127040,True,0.536,0.78,5,-9.449,0,0.945,0.792,0.0,0.735,0.452,173.912,3,comedy
27368,002uYDBLOvJz21C4FuArDS,Sigma;Birdy,Find Me (Remixes),Find Me - Sigma VIP Remix,20,252342,False,0.415,0.888,5,-2.544,0,0.0685,0.0051,0.002,0.186,0.146,174.986,4,drum-and-bass
113606,006ATYzgynEKIPgVaT5LQM,Mc_team,Frecuencias Curativas Solfeggio 528 Hz,528Hz Energía curativa profunda,24,166746,False,0.0865,0.00504,5,-36.082,0,0.0494,0.991,0.965,0.101,0.138,169.362,4,world-music
93897,009DZE5shRgOEnMD47h9uW,Gelena Velikanova,Гелена Великанова (2021 Remastered Version),Я не тороплюсь - 2021 Remastered Version,0,143771,False,0.493,0.356,9,-15.446,0,0.26,0.293,0.0,0.0648,0.738,86.692,4,romance
2870,00B7SBwrjbycLMOgAmeIU8,Red Hot Chili Peppers,Return of the Dream Canteen,Reach Out,66,251588,False,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487,120.984,4,alt-rock
37714,00B7SBwrjbycLMOgAmeIU8,Red Hot Chili Peppers,Return of the Dream Canteen,Reach Out,66,251588,False,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487,120.984,4,funk
71588,00B7SBwrjbycLMOgAmeIU8,Red Hot Chili Peppers,Return of the Dream Canteen,Reach Out,66,251588,False,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487,120.984,4,metal
65956,00Coyxt9mTec1acC52qtWa,TAEIL,Twenty-Five Twenty-One OST Part 1,Starlight,62,225817,False,0.643,0.735,2,-3.703,1,0.0302,0.0786,0.0,0.101,0.502,111.961,4,k-pop
156,00DuOxungwHwVUX2m37P0P,Chord Overstreet,What You Need,What You Need,53,181786,False,0.519,0.264,0,-11.171,1,0.0601,0.918,0.000253,0.237,0.192,140.354,4,acoustic
59437,00EqiscplImrxqlRb4VMsZ,Integral Rigor,No More Room in Hell,Captured by Curse,0,246533,False,0.536,0.841,1,-8.419,1,0.0385,2.76e-06,0.94,0.162,0.481,110.001,4,iranian
107389,00FDHurakzVEiPutdUxXXq,Nik Kershaw,Human Racing,Wouldn't It Be Good,65,277053,False,0.655,0.705,2,-8.529,0,0.0285,0.169,0.0139,0.0698,0.749,97.007,4,synth-pop
6506,00IXrawIDidTg6RrN3pt6X,Khold,Svartsyn,Dystopi,18,241564,False,0.398,0.75,2,-13.219,1,0.0384,4.59e-06,0.00219,0.101,0.25,95.004,4,black-metal
93988,00NenVXc1ciWotMBpgGiQz,Vladimir Nechaev,Velikie ispolniteli Rossii XX veka: Vladimir Nechaev,Kol'tso dushi-devitsy,0,218045,False,0.179,0.32,7,-6.025,0,0.0308,0.989,1.54e-06,0.222,0.184,85.251,4,romance
77652,00Rptyyrh7YXjPwjd7SAsV,Exaltasamba,Esquema Novo,Já Tentei,44,258666,False,0.632,0.577,11,-6.769,1,0.0637,0.75,0.0,0.525,0.501,137.0,4,pagode
96156,00Rptyyrh7YXjPwjd7SAsV,Exaltasamba,Esquema Novo,Já Tentei,44,258666,False,0.632,0.577,11,-6.769,1,0.0637,0.75,0.0,0.525,0.501,137.0,4,samba
41526,00UoBmyOfYNPbiQUKWu07R,Vic Vem;Parham,Villkorslös,Passagerare,23,221636,False,0.669,0.66,10,-5.805,0,0.406,0.187,0.0,0.136,0.371,80.225,4,goth
22863,00Xf7wRRRAnCeghgsv7beW,Ingested,The Level Above Human,Misery Leech,21,250247,False,0.5,0.992,9,-4.422,1,0.122,8.52e-05,9.3e-05,0.309,0.153,134.997,3,death-metal
27212,00YU94LCvdDLplDmXCu9UO,Chase & Status;Skrillex,Brand New Machine (Deluxe Version),International - Skrillex Remix,39,239667,False,0.519,0.818,1,-6.218,1,0.0596,9.19e-05,0.00467,0.426,0.544,183.975,4,drum-and-bass
19377,00ZYYvMBC1Rs4nl0Y0suN1,Josh Turner,Christmas Country Songs 2022,Soldier's Gift,0,226516,False,0.598,0.326,11,-8.129,1,0.0308,0.837,0.107,0.099,0.182,125.671,3,country
18616,00ZyULMuJ9Jn4mUnlnMdin,Big Jay Oakerson,Live at Webster Hall,Lazy (It Runs in the Family),21,229665,True,0.477,0.739,2,-13.15,1,0.947,0.898,0.0,0.77,0.481,85.671,4,comedy
49196,00b0xXXPbLvZkMa7JcJ2RT,Buren Van De Brandweer,Weekend Weg,Weekend Weg,28,162206,False,0.778,0.911,11,-4.209,1,0.128,0.00173,1.92e-06,0.0767,0.883,145.017,4,hardstyle
1447,00hPnVmMynXSUIeIXapFZE,Jackie Mittoo,The Keyboard King at Studio One,Reggae Rock,22,117733,False,0.752,0.451,5,-9.922,0,0.0544,0.368,0.396,0.124,0.886,81.468,4,afrobeat
